760,57,38,9,40
761,59,35,4,38
762,66,35,4,40
763,64,32,4,38
764,64,30,6,37
765,64,30,6,37
766,64,30,6,37
767,57,32,6,36
768,55,35,12,38
769,55,35,21,39
770,59,35,21,40
771,55,35,21,39
772,57,32,24,38
773,55,35,21,39
774,55,35,12,38
775,57,32,6,36
776,57,32,6,36
777,57,32,6,36
778,57,32,6,36
779,55,35,6,37
780,52,35,12,37
781,52,32,18,36
782,52,32,12,35
783,57,32,6,36
784,52,38,4,38
785,55,35,6,37
786,55,35,12,38
787,55,35,15,38
788,55,35,15,38
789,55,35,21,39
790,57,32,18,37
791,59,30,18,37
792,62,32,15,39
793,59,30,24,37
794,59,30,12,36
795,57,32,6,36
796,57,32,6,36
797,57,32,6,36
798,57,32,6,36
799,57,32,6,36
800,59,30,6,35
801,57,32,6,36
802,52,38,1,37
803,50,35,2,35
804,55,30,4,34
805,55,30,4,34
806,55,30,4,34
807,55,30,9,35
808,52,32,4,34
809,55,30,4,34
810,55,30,4,34
811,57,32,6,36
812,57,32,6,36
813,57,32,6,36
814,52,32,9,35
815,57,32,6,36
816,55,35,6,37
817,57,38,4,39
818,59,35,4,38
819,59,35,4,38
820,59,40,2,41
821,59,35,4,38
822,59,40,6,41
823,62,38,12,42
824,66,38,6,42
825,62,38,2,41
826,62,32,9,38
827,62,32,15,39
828,64,30,12,38
829,57,32,6,36
830,59,35,9,39
831,55,35,21,39
832,52,32,12,35
833,57,32,6,36
834,59,30,12,36
835,57,27,21,35
836,52,32,12,35
837,52,32,9,35
838,52,32,9,35
839,52,32,9,35
840,57,32,6,36
841,52,35,6,36
842,52,35,6,36
843,52,32,9,35
844,55,30,4,34
845,52,32,4,34
846,50,32,4,34
847,52,32,9,35
848,52,32,9,35
849,52,32,9,35
850,55,30,4,34
851,57,27,4,33
852,55,30,4,34
853,57,32,6,36
854,57,32,6,36
855,57,32,6,36
856,52,32,9,35
857,57,32,6,36
858,59,30,6,35
859,57,32,6,36
860,55,35,2,37
861,55,30,4,34
862,59,30,4,35
863,57,32,6,36
864,57,27,4,33
865,52,32,4,34
866,52,35,6,36
867,52,35,18,38
868,52,35,18,38
869,55,32,24,37
870,57,32,18,37
