,"measured value, xi",y,"deviation, di=xi-x","deviation squared, (di)^2",fit,(y-fit)^2
,72,,-228,51984,104.8084276,10984.80649
,73,205,-227,51529,105.6089514,9878.580543
,74,,-226,51076,106.4120305,11323.52023
,75,202,-225,50625,107.2176303,8983.697601
,76,,-224,50176,108.025716,11669.55531
,77,206,-223,49729,108.8362518,9440.79396
,78,,-222,49284,109.6492019,12022.94748
,79,208,-221,48841,110.4645297,9513.167976
,80,,-220,48400,111.282198,12383.72759
,81,207,-219,47961,112.1021694,9005.598257
,82,,-218,47524,112.9244057,12751.9214
,83,206,-217,47089,113.7488684,8510.271283
,84,,-216,46656,114.5755183,13127.5494
,85,211,-215,46225,115.404316,9138.534808
,86,,-214,45796,116.2352211,13510.62663
,87,213,-213,45369,117.0681933,9202.911545
,88,,-212,44944,117.9031912,13901.1625
,89,211,-211,44521,118.7401735,8511.875594
,90,,-210,44100,119.5790978,14299.16064
,91,211,-209,43681,120.4199217,8204.750576
,92,,-208,43264,121.2626021,14704.61868
,93,214,-207,42849,122.1070954,8444.305911
,94,,-206,42436,122.9533575,15117.52813
,95,215,-205,42025,123.801344,8317.194863
,96,,-204,41616,124.6510096,15537.8742
,97,217,-203,41209,125.5023091,8371.827444
,98,,-202,40804,126.3551963,15965.63563
,99,217,-201,40401,127.2096248,8062.311471
,100,,-200,40000,128.0655478,16400.78453
,101,217,-199,39601,128.9229177,7757.572419
,102,,-198,39204,129.7816869,16843.28624
,103,217,-197,38809,130.6418068,7457.737531
,104,,-196,38416,131.5032288,17293.09919
,105,214,-195,38025,132.3659037,6664.125679
,106,,-194,37636,133.2297817,17750.17474
,107,210,-193,37249,134.0948128,5761.597442
,108,,-192,36864,134.9609464,18214.45705
,109,215,-191,36481,135.8281314,6268.184775
,110,,-190,36100,136.6963165,18685.88294
,111,217,-189,35721,137.5654498,6309.847772
,112,,-188,35344,138.4354789,19164.38182
,113,217,-187,34969,139.3063512,6036.303062
,114,,-186,34596,140.1780136,19649.87549
,115,217,-185,34225,141.0504124,5768.339857
,116,,-184,33856,141.9234938,20142.27808
,117,218,-183,33489,142.7972033,5655.460627
,118,,-182,33124,143.6714863,20641.49598
,119,217,-181,32761,144.5462876,5249.540447
,120,,-180,32400,145.4215515,21147.42765
,121,217,-179,32041,146.2972223,4998.882767
,122,,-178,31684,147.1732437,21659.96365
,123,215,-177,31329,148.0495588,4482.361574
,124,,-176,30976,148.9261108,22178.98647
,125,217,-175,30625,149.8028421,4515.458029
,126,,-174,30276,150.6796951,22704.37051
,127,217,-173,29929,151.5566116,4282.83709
,128,,-172,29584,152.4335331,23235.98202
,129,217,-171,29241,153.3104009,4056.365032
,130,,-170,28900,154.1871558,23773.67903
,131,216,-169,28561,155.0637384,3713.227973
,132,,-168,28224,155.9400889,24317.31133
,133,215,-167,27889,156.8161472,3385.360727
,134,,-166,27556,157.6918528,24866.72046
,135,214,-165,27225,158.5671452,3072.801394
,136,,-164,26896,159.4419632,25421.73962
,137,215,-163,26569,160.3162455,2990.313002
,138,,-162,26244,161.1899307,25982.19376
,139,214,-161,25921,162.0629568,2697.456458
,140,,-160,25600,162.9352617,26547.8995
,141,215,-159,25281,163.806783,2620.745464
,142,,-158,24964,164.6774581,27118.66522
,143,217,-157,24649,165.5472241,2647.388144
,144,,-156,24336,166.4160179,27694.29101
,145,218,-155,24025,167.283776,2572.135375
,146,,-154,23716,168.1504349,28274.56877
,147,218,-153,23409,169.0159308,2399.439032
,148,,-152,23104,169.8801997,28859.28224
,149,220,-151,22801,170.7431772,2426.234591
,150,,-150,22500,171.604799,29448.20705
,151,221,-149,22201,172.4650005,2355.646175
,152,,-148,21904,173.3237168,30041.11082
,153,222,-147,21609,174.180883,2286.667946
,154,,-146,21316,175.036434,30637.75322
,155,224,-145,21025,175.8903043,2314.542817
,156,,-144,20736,176.7424287,31237.88609
